wf_pinyin_code,wf_farm_name,t_inner_turbine_name,part_id,part_type,part_name,part_code,part_brand
"JYFCA","济源一期","014","7","变流器","变流器","变流器","阳光"
"HLYJFCB","黄龙崾崄二期","026","7","变流器","变流器","变流器","阳光"
"HLYJFCB","黄龙崾崄二期","027","7","变流器","变流器","变流器","阳光"
"HLYJFCB","黄龙崾崄二期","028","7","变流器","变流器","变流器","阳光"
"HLYJFCB","黄龙崾崄二期","029","7","变流器","变流器","变流器","阳光"
"HLYJFCB","黄龙崾崄二期","030","7","变流器","变流器","变流器","阳光"
"HLYJFCB","黄龙崾崄二期","031","7","变流器","变流器","变流器","阳光"
"HLYJFCB","黄龙崾崄二期","032","7","变流器","变流器","变流器","阳光"
"HLYJFCB","黄龙崾崄二期","033","7","变流器","变流器","变流器","阳光"
"HLYJFCB","黄龙崾崄二期","034","7","变流器","变流器","变流器","阳光"
"HLYJFCB","黄龙崾崄二期","035","7","变流器","变流器","变流器","阳光"
"HLYJFCB","黄龙崾崄二期","036","7","变流器","变流器","变流器","阳光"
"HLYJFCB","黄龙崾崄二期","037","7","变流器","变流器","变流器","阳光"
"HLYJFCB","黄龙崾崄二期","038","7","变流器","变流器","变流器","阳光"
"HLYJFCB","黄龙崾崄二期","039","7","变流器","变流器","变流器","阳光"
"HLYJFCB","黄龙崾崄二期","040","7","变流器","变流器","变流器","阳光"
"HLYJFCB","黄龙崾崄二期","041","7","变流器","变流器","变流器","阳光"
"TSLFCA","铜山岭","001","7","变流器","变流器","变流器","阳光"
"TSLFCA","铜山岭","002","7","变流器","变流器","变流器","阳光"
"TSLFCA","铜山岭","003","7","变流器","变流器","变流器","阳光"
"TSLFCA","铜山岭","004","7","变流器","变流器","变流器","阳光"
"TSLFCA","铜山岭","005","7","变流器","变流器","变流器","阳光"
"TSLFCA","铜山岭","006","7","变流器","变流器","变流器","阳光"
"TSLFCA","铜山岭","007","7","变流器","变流器","变流器","阳光"
"TSLFCA","铜山岭","008","7","变流器","变流器","变流器","阳光"
"TSLFCA","铜山岭","009","7","变流器","变流器","变流器","阳光"
