序号,电网电压Uab,电网电压Ubc,定子电压Uuv,定子电压Uvw,总并网/定子U相电流,总并网/定子V相电流,总并网/定子W相电流,转子K相电流,转子L相电流,转子M相电流,母线电压,机侧M相占空比,转子三相电流和,总并网/定子三相电流和,总并网/定子有功电流,总并网/定子无功电流,发电机转速,编码器脉冲信号,编码器复位信号,电网故障标志,交流撬棒电流,交流撬棒触发状态/转子负序有功电流给定,电网故障穿越状态/转子负序无功电流给定,转子正序有功电流给定,转子正序无功电流给定,转子正序有功电流反馈,转子正序无功电流反馈,转子有功电流给定/转子负序有功电流反馈,转子有功电流反馈/转子负序无功电流反馈,并网接触器状态,主控制字,主状态字Ǖ
1,65535,65535,2384,63161,63160,2139,65535,2588,0,3124,315,500,10053,2,742,65498,65526,0,0,63170,65237,1129,0,0,64519,2345,64517,63189,1,0,143,7586,
2,65249,933,65499,65138,435,1068,65320,1421,0,3053,177,500,10023,0,561,14838,65521,0,0,0,0,1069,65187,0,2,50,65192,65488,0,0,143,4102,
3,65154,943,18,65095,421,1068,65302,1697,93,3035,191,500,10055,0,561,14836,65518,0,0,65535,0,1069,65178,0,3,51,65181,65484,0,0,143,4102,
4,65064,953,59,65063,406,1068,65340,1947,137,2987,204,500,10067,0,561,14836,65520,0,0,65530,0,1069,65189,0,3,44,65171,65491,0,0,143,4102,
5,64979,945,108,65044,377,1067,65251,2281,167,2957,217,500,10040,0,561,14836,65514,0,0,65530,0,1069,65190,0,65532,40,65170,65495,0,0,143,4102,
6,64904,936,137,65046,351,1067,65378,2493,189,2935,231,500,10048,0,561,14835,65518,0,0,65535,0,1069,65182,0,65526,21,65175,65512,0,0,143,4102,
7,64836,904,169,65043,324,1069,65320,2811,296,2828,244,500,10038,0,561,14831,65513,0,0,1,0,1069,65190,0,65527,7,65177,65525,0,0,143,4102,
8,64766,877,184,65052,299,1068,65355,2936,188,2617,258,500,10076,0,561,14832,65517,0,0,0,0,1069,65188,0,0,65520,65186,12,0,0,143,4102,
9,64721,831,225,65040,270,1068,65415,2978,146,2359,271,500,10006,0,561,14830,65514,0,0,0,0,1069,65177,0,12,65522,65181,18,0,0,143,4102,
10,64665,775,262,65031,243,1069,65409,3021,103,2047,284,500,10106,0,561,14827,65520,0,0,0,0,1069,65185,0,28,65527,65175,30,0,0,143,4102,
11,64635,720,305,65029,196,1068,65411,3035,89,1802,298,500,10008,0,561,14828,65518,0,0,65532,0,1069,65182,0,30,0,65172,31,0,0,143,4102,
12,64605,645,341,65041,149,1069,65454,3061,102,1539,311,500,10083,0,561,14825,65521,0,0,65531,0,1069,65176,0,32,4,65175,34,0,0,143,4102,
13,64592,573,375,65064,93,1070,65487,3018,0,1298,325,500,10019,0,561,14826,65521,0,0,65533,0,1069,65184,0,30,6,65180,32,0,0,143,4102,
14,64579,487,422,65073,40,1069,65404,3015,109,998,338,500,10073,0,561,14826,65522,0,0,0,0,1069,65182,0,21,20,65170,30,0,0,143,4102,
15,64590,402,446,65108,65518,1069,7,2952,172,802,351,500,10036,0,561,14826,65525,0,0,1,0,1069,65177,0,17,17,65177,26,0,0,143,4102,
16,64604,304,463,65142,65466,1069,65464,2904,220,498,365,500,10061,0,561,14821,65525,0,0,0,0,1069,65187,0,17,19,65181,27,0,0,143,4102,
17,64623,209,472,65190,65410,1069,65486,2853,275,271,378,500,10068,0,561,14827,65528,0,0,0,0,1069,65185,0,16,13,65189,19,0,0,143,4102,
18,64666,108,489,65236,65347,1069,65526,2928,506,196,392,500,10068,0,561,14822,65528,0,0,0,0,1069,65175,0,7,7,65186,9,0,0,143,4102,
19,64705,8,479,65299,65293,1070,13,2973,737,151,405,500,10075,0,561,14827,65530,0,0,65535,0,1069,65180,0,15,65532,65195,65532,0,0,143,4102,
20,64764,65443,478,65360,65233,1069,65524,3023,967,101,419,500,10080,0,561,14826,65532,0,0,65535,0,1069,65176,0,15,65521,65192,65518,0,0,143,4102,
21,64823,65343,460,65428,65184,1070,76,3051,1195,104,432,500,10082,0,561,14830,65534,0,0,1,0,1069,65169,0,26,65513,65195,65503,0,0,143,4102,
22,64899,65249,444,65492,65136,1070,94,3022,1453,103,445,500,10061,0,561,14830,65533,0,0,1,0,1069,65177,0,33,65506,65190,65491,0,0,143,4102,
23,64967,65151,431,5,65097,1070,40,3052,1689,0,459,500,10076,0,561,14834,65534,0,0,65534,0,1069,65174,0,32,65507,65181,65491,0,0,143,4102,
24,65060,65064,408,64,65057,1069,162,2990,1991,134,472,500,10082,0,561,14836,65532,0,0,65530,0,1069,65168,0,37,65504,65172,65486,0,0,143,4102,
25,65140,64982,394,106,65032,1070,108,2948,2236,176,486,500,10035,0,561,14836,65530,0,0,65532,0,1069,65178,0,29,65506,65161,65496,0,0,143,4102,
26,65235,64904,368,134,65033,1069,126,2903,2540,221,499,500,10062,0,560,14840,65529,0,0,0,0,1069,65176,0,17,65521,65167,65514,0,0,143,4102,
27,65332,64832,340,157,65038,1069,136,2855,2849,269,512,500,10066,0,560,14836,65528,0,0,0,0,1069,65171,0,0,65531,65174,65532,0,0,143,4102,
28,65424,64775,305,186,65045,1070,162,2583,2908,216,526,500,10011,0,560,14838,65524,0,0,0,0,1069,65176,0,65523,0,65183,8,0,0,15,4614,
29,65526,64713,282,223,65030,1069,85,2369,2997,127,539,500,10071,0,560,14837,65527,0,0,0,0,1069,65170,0,65516,65521,65175,19,0,0,15,4614,
30,87,64669,243,269,65023,1070,142,2058,3030,94,553,500,10037,0,560,14839,65523,0,0,0,0,1069,65163,0,65521,65513,65170,22,0,0,15,4614,
31,185,64635,208,308,65017,1070,117,1780,3030,95,566,500,10031,0,560,14837,65522,0,0,65534,0,1069,65168,0,65525,65499,65164,31,0,0,15,4614,
32,279,64603,151,348,65030,1070,85,1570,3057,0,579,500,10020,0,560,14839,65521,0,0,65530,0,1069,65166,0,65530,65501,65167,29,0,0,15,4614,
33,377,64592,105,386,65039,1070,141,1221,3036,96,593,500,10057,0,560,14836,65518,0,0,65531,0,1069,65162,0,3,65496,65163,33,0,0,15,4614,
34,460,64583,39,432,65065,1070,118,1043,2984,140,606,500,9995,0,560,14836,65517,0,0,2,0,1069,65171,0,12,65507,65161,24,0,0,15,4614,
35,548,64587,65518,457,65096,1069,134,778,2969,155,620,500,10043,0,560,14834,65516,0,0,1,0,1069,65171,0,14,65511,65165,23,0,0,15,4614,
36,629,64602,65468,469,65134,1069,136,483,2912,212,633,500,10062,0,560,14833,65516,0,0,0,0,1069,65169,0,11,65510,65173,24,0,0,15,4614,
37,695,64629,65406,486,65179,1070,168,283,2841,305,646,500,10006,0,560,14829,65513,0,0,0,0,1069,65176,0,10,65518,65175,16,0,0,15,4614,
38,769,64656,65351,496,65224,1069,148,194,2930,473,660,500,10080,0,560,14830,65518,0,0,0,0,1069,65169,0,9,65523,65176,12,0,0,15,4614,
39,816,64714,65289,495,65287,1069,166,142,2982,789,673,500,10071,0,560,14826,65516,0,0,0,0,1069,65167,0,65532,65529,65180,65533,0,0,15,4614,
40,867,64759,65233,484,65354,1070,160,110,3014,962,687,500,10050,0,560,14824,65519,0,0,0,0,1069,65173,0,65518,65528,65184,65519,0,0,15,4614,
41,901,64822,65181,473,65417,1069,155,92,3037,1191,700,500,10065,0,560,14824,65521,0,0,0,0,1069,65170,0,65508,65528,65182,65508,0,0,15,4614,
42,930,64901,65135,453,65484,1069,145,100,3057,1493,713,500,10127,0,560,14821,65525,0,0,1,0,1069,65168,0,65498,65522,65181,65496,0,0,15,4614,
43,943,64967,65096,424,13,1070,113,0,3023,1686,727,500,10010,0,560,14823,65523,0,0,65534,0,1069,65172,0,65491,65513,65179,65486,0,0,15,4614,
44,956,65054,65052,421,57,1068,166,105,3019,1969,740,500,10115,0,560,14822,65528,0,0,65530,0,1069,65171,0,65493,65524,65160,65493,0,0,15,4614,
45,943,65145,65031,389,110,1068,51,187,2937,2252,754,500,10083,0,560,14823,65528,0,0,65532,0,1069,65173,0,65496,65517,65159,65495,0,0,15,4614,
46,934,65231,65030,368,135,1068,107,220,2904,2548,767,500,10024,0,560,14819,65525,0,0,65534,0,1069,65181,0,65515,65525,65162,65516,0,0,15,4614,
47,912,65328,65041,341,152,1068,64,262,2862,2812,781,500,10093,0,560,14824,65532,0,0,65535,0,1069,65176,0,2,1,65174,3,0,0,15,4614,
48,867,65430,65038,305,191,1068,11,190,2576,2934,794,500,10075,0,560,14819,65530,0,0,0,0,1069,65174,0,6,7,65178,9,0,0,15,4614,
